City,count
Kalyan,1570
Srinagar,1372
Hyderabad,1340
Vasai-Virar,1290
Lucknow,1155
Thane,1139
Ludhiana,1111
Agra,1094
Surat,1078
Kolkata,1066
Jaipur,1036
Patna,1007
Visakhapatnam,969
Pune,968
Ahmedabad,951
Bhopal,934
Chennai,885
Meerut,825
Rajkot,816
Delhi,768
Bangalore,767
Ghaziabad,745
Mumbai,699
Vadodara,694
Varanasi,685
Nagpur,651
Indore,643
Kanpur,609
Nashik,547
Faridabad,461
Saanvi,2
Bhavna,2
City,2
Harsha,2
M.Tech,1
'Less Delhi',1
3.0,1
'Less than 5 Kalyan',1
Mira,1
Vaanya,1
Gaurav,1
Harsh,1
Reyansh,1
Kibara,1
Rashi,1
ME,1
M.Com,1
Nalyan,1
Mihir,1
Nalini,1
Nandini,1
Khaziabad,1
